#FOODID	taxa
12140100	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sweet_dairy_cream;L4_;L5_;Cream_whipped_pressurized_container
12140105	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sweet_dairy_cream;L4_;L5_;Cream_whipped_pressurized_container_light
12210200	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;L4_;L5_;Cream_substitute_liquid
12210210	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;L4_;L5_;Cream_substitute_flavored_liquid
12210250	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;L4_;L5_;Cream_substitute_light_liquid
12210255	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;L4_;L5_;Cream_substitute_light_flavored_liquid
12210270	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;L4_;L5_;Cream_substitute_fat_free_flavored_liquid
12210430	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Cream_substitutes;L4_;L5_;Cream_substitute_fat_free_powder
12310100	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sour_cream;L4_;L5_;Sour_cream
12310300	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sour_cream;L4_;L5_;Sour_cream_reduced_fat
12310350	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sour_cream;L4_;L5_;Sour_cream_light
12310370	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sour_cream;L4_;L5_;Sour_cream_fat_free
12350000	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sour_cream;L4_;L5_;Dip_sour_cream_base
12350100	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sour_cream;L4_;L5_;Spinach_dip
12350110	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sour_cream;L4_;L5_;Spinach_and_artichoke_dip
13110100	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_;L5_;Ice_cream_regular_flavors_other_than_chocolate
13110110	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_;L5_;Ice_cream_regular_chocolate
13110120	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_;L5_;Ice_cream_rich_flavors_other_than_chocolate
13110130	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_;L5_;Ice_cream_rich_chocolate
13110200	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_;L5_;Ice_cream_soft_serve_flavors_other_than_chocolate
13120790	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_;L5_;Ice_cream_sundae_cone
13130300	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_;L5_;Light_ice_cream_flavors_other_than_chocolate_formerly_ice_milk
13130700	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_;L5_;Light_ice_cream_soft_serve_blended_with_candy_or_cookies
13200110	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Puddings_custards_and_other_milk;L4_;L5_;Pudding_NFS
13210220	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Puddings_custards_and_other_milk;L4_;L5_;Pudding_chocolate_NS_as_to_from_dry_mix_or_readytoeat
13210280	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Puddings_custards_and_other_milk;L4_;L5_;Pudding_flavors_other_than_chocolate_NS_as_to_from_dry_mix_or_readytoeat
13210300	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Puddings_custards_and_other_milk;L4_;L5_;Custard
13210520	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Puddings_custards_and_other_milk;L4_;L5_;Pudding_tapioca_made_from_dry_mix_made_with_milk
13220110	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Puddings_custards_and_other_milk;L4_;L5_;Pudding_flavors_other_than_chocolate_prepared_from_dry_mix_milk_added
13252600	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Puddings_custards_and_other_milk;L4_;L5_;Tiramisu
14010000	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Cheese_NS_as_to_type;L4_;L5_;Cheese_NFS
14101010	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_;L5_;Cheese_Blue_or_Roquefort
14103020	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_;L5_;Cheese_Brie
14104100	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_;L5_;Cheese_Cheddar
14104200	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_;L5_;Cheese_Colby
14104250	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_;L5_;Cheese_Colby_Jack
14104400	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_;L5_;Cheese_Feta
14104700	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_;L5_;Cheese_goat
14105010	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_;L5_;Cheese_Gouda_or_Edam
14105200	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_;L5_;Cheese_Gruyere
14106200	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_;L5_;Cheese_Monterey
14107010	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_;L5_;Cheese_Mozzarella_NFS
14107020	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_;L5_;Cheese_Mozzarella_whole_milk
14107030	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_;L5_;Cheese_Mozzarella_part_skim
14108010	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_;L5_;Cheese_Parmesan_dry_grated
14108020	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_;L5_;Cheese_Parmesan_hard
14108400	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_;L5_;Cheese_Provolone
14109010	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_;L5_;Cheese_Swiss
14109030	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_;L5_;Cheese_Swiss_reduced_fat
14110010	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_;L5_;Cheese_Cheddar_reduced_sodium
14133000	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Natural_cheeses;L4_;L5_;Queso_Fresco
14201010	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Cottage_cheeses;L4_;L5_;Cheese_cottage_creamed_large_or_small_curd
14201500	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Cottage_cheeses;L4_;L5_;Cheese_Ricotta
14203020	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Cottage_cheeses;L4_;L5_;Cheese_cottage_salted_dry_curd
14204010	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Cottage_cheeses;L4_;L5_;Cheese_cottage_lowfat_12_fat
14301010	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Cream_cheeses;L4_;L5_;Cheese_cream
14303010	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Cream_cheeses;L4_;L5_;Cheese_cream_light_or_lite_formerly_called_Cream_Cheese_Lowfat
14410110	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Processed_cheeses_and_cheese_spreads;L4_;L5_;Cheese_American
14410120	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Processed_cheeses_and_cheese_spreads;L4_;L5_;Cheese_American_reduced_fat
14410380	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Processed_cheeses_and_cheese_spreads;L4_;L5_;Cheese_processed_cream_cheese_product_nonfat_or_fat_free
14410600	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Processed_cheeses_and_cheese_spreads;L4_;L5_;Cheese_processed_with_vegetables
14420100	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Processed_cheeses_and_cheese_spreads;L4_;L5_;Cheese_spread_American_or_Cheddar_cheese_base
14420200	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Processed_cheeses_and_cheese_spreads;L4_;L5_;Cheese_spread_cream_cheese_regular
14630100	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Cheese_mixtures;L4_;L5_;Cheese_fondue
14640100	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Cheese_mixtures;L4_;L5_;Cheese_sandwich_grilled
14650100	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Cheese_mixtures;L4_;L5_;Cheese_sauce
14660200	L1_Milk_and_Milk_Products;L2_Cheeses;L3_Cheese_mixtures;L4_;L5_;Mozzarella_sticks_breaded_baked_or_fried
21000100	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_NFS;L4_;L5_;Beef_NS_as_to_cut_cooked_NS_as_to_fat_eaten
21000110	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_NFS;L4_;L5_;Beef_NS_as_to_cut_cooked_lean_and_fat_eaten
21000120	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_NFS;L4_;L5_;Beef_NS_as_to_cut_cooked_lean_only_eaten
21001020	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_NFS;L4_;L5_;Steak_NS_as_to_type_of_meat_cooked_lean_only_eaten
21101010	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_steak;L4_;L5_;Beef_steak_NS_as_to_cooking_method_lean_and_fat_eaten
21101020	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_steak;L4_;L5_;Beef_steak_NS_as_to_cooking_method_lean_only_eaten
21101130	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_steak;L4_;L5_;Beef_steak_broiled_or_baked_lean_only_eaten
21102130	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_steak;L4_;L5_;Beef_steak_fried_lean_only_eaten
21104110	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_steak;L4_;L5_;Beef_steak_battered_fried_NS_as_to_fat_eaten
21304210	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_oxtails_neckbones_short_ribs_head;L4_;L5_;Beef_shortribs_barbecued_with_sauce_lean_and_fat_eaten
21401110	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_roasts_stew_meat_corned_beef_beef_brisket_sandwich_steaks;L4_;L5_;Beef_roast_roasted_lean_and_fat_eaten
21407000	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_roasts_stew_meat_corned_beef_beef_brisket_sandwich_steaks;L4_;L5_;Beef_pot_roast_braised_or_boiled_NS_as_to_fat_eaten
21407110	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_roasts_stew_meat_corned_beef_beef_brisket_sandwich_steaks;L4_;L5_;Beef_pot_roast_braised_or_boiled_lean_and_fat_eaten
21407120	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_roasts_stew_meat_corned_beef_beef_brisket_sandwich_steaks;L4_;L5_;Beef_pot_roast_braised_or_boiled_lean_only_eaten
21410000	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_roasts_stew_meat_corned_beef_beef_brisket_sandwich_steaks;L4_;L5_;Beef_stew_meat_cooked_NS_as_to_fat_eaten
21416000	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_roasts_stew_meat_corned_beef_beef_brisket_sandwich_steaks;L4_;L5_;Corned_beef_cooked_NS_as_to_fat_eaten
21417110	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_roasts_stew_meat_corned_beef_beef_brisket_sandwich_steaks;L4_;L5_;Beef_brisket_cooked_lean_and_fat_eaten
21500100	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Ground_beef_beef_patties_beef_meatballs;L4_;L5_;Ground_beef_or_patty_cooked_NS_as_to_percent_lean_formerly_NS_as_to_regular_lean_or_extra_lean
21501000	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Ground_beef_beef_patties_beef_meatballs;L4_;L5_;Ground_beef_less_than_80_lean_cooked_formerly_regular
21501200	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Ground_beef_beef_patties_beef_meatballs;L4_;L5_;Ground_beef_80__84_lean_cooked_formerly_lean
21501300	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Ground_beef_beef_patties_beef_meatballs;L4_;L5_;Ground_beef_85__89_lean_cooked_formerly_extra_lean
21602100	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Other_beef_items_beef_bacon_dried_beef_pastrami;L4_;L5_;Beef_jerky
21603000	L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Other_beef_items_beef_bacon_dried_beef_pastrami;L4_;L5_;Beef_pastrami_beef_smoked_spiced
22000100	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Pork_NFS_ground_dehydrated;L4_;L5_;Pork_NS_as_to_cut_cooked_NS_as_to_fat_eaten
22000110	L1_Meat_Poultry_Fish_and_Mixtures;L2_Pork;L3_Pork_NFS_ground_dehydrated;L4_;L5_;Pork_NS_as_to_cut_cooked_lean_and_fat_eaten
