# Constructed from biom file
#OTU ID	MCT.f.0396	MCT.f.0426	MCT.f.0069	MCT.f.0618	MCT.f.0445	MCT.f.0311	MCT.f.0432	MCT.f.0103	MCT.f.0431	MCT.f.0552	MCT.f.0381	MCT.f.0161	MCT.f.0443	MCT.f.0393	MCT.f.0124	MCT.f.0037	MCT.f.0416	MCT.f.0002	MCT.f.0326	MCT.f.0549	MCT.f.0430	MCT.f.0138	MCT.f.0362	MCT.f.0568	MCT.f.0055	MCT.f.0091	MCT.f.0243	MCT.f.0325	MCT.f.0003	MCT.f.0565	MCT.f.0245	MCT.f.0139	MCT.f.0241	MCT.f.0467	MCT.f.0223	MCT.f.0314	MCT.f.0345	MCT.f.0582	MCT.f.0154	MCT.f.0057	MCT.f.0261	MCT.f.0613	MCT.f.0428	MCT.f.0109	MCT.f.0620	MCT.f.0344	MCT.f.0155	MCT.f.0532	MCT.f.0122	MCT.f.0598	MCT.f.0120	MCT.f.0347	MCT.f.0312	MCT.f.0528	MCT.f.0297	MCT.f.0106	MCT.f.0551	MCT.f.0329	MCT.f.0378	MCT.f.0600	MCT.f.0008	MCT.f.0614	MCT.f.0295	MCT.f.0348	MCT.f.0006	MCT.f.0137	MCT.f.0327	MCT.f.0427	MCT.f.0108	MCT.f.0107	MCT.f.0397	MCT.f.0256	MCT.f.0142	MCT.f.0615	MCT.f.0071	MCT.f.0446	MCT.f.0346	MCT.f.0364	MCT.f.0481	MCT.f.0104	MCT.f.0534	MCT.f.0209	MCT.f.0292	MCT.f.0410	MCT.f.0144	MCT.f.0414	MCT.f.0263	MCT.f.0359	MCT.f.0160	MCT.f.0004	MCT.f.0330	MCT.f.0464	MCT.f.0259	MCT.f.0514	MCT.f.0567	MCT.f.0075	MCT.f.0086	MCT.f.0395	MCT.f.0007	MCT.f.0089	MCT.f.0564	MCT.f.0074	MCT.f.0363	MCT.f.0379	MCT.f.0603	MCT.f.0586	MCT.f.0530	MCT.f.0535	MCT.f.0394	MCT.f.0602	MCT.f.0447	MCT.f.0070	MCT.f.0290	MCT.f.0415	MCT.f.0308	MCT.f.0512	MCT.f.0533	MCT.f.0042	MCT.f.0616	MCT.f.0392	MCT.f.0460	MCT.f.0258	MCT.f.0412	MCT.f.0143	MCT.f.0581	MCT.f.0547	MCT.f.0052	MCT.f.0072	MCT.f.0365	MCT.f.0566	MCT.f.0450	MCT.f.0429	MCT.f.0597	MCT.f.0599	MCT.f.0206	MCT.f.0596	MCT.f.0482	MCT.f.0141	MCT.f.0229	MCT.f.0580	MCT.f.0331	MCT.f.0158	MCT.f.0360	MCT.f.0123	MCT.f.0310	MCT.f.0313	MCT.f.0513	MCT.f.0462	MCT.f.0511	MCT.f.0121	MCT.f.0583	MCT.f.0038	MCT.f.0307	MCT.f.0260	MCT.f.0529	MCT.f.0444	MCT.f.0225	MCT.f.0516	MCT.f.0159
0;Other;Other;Other;Other	7.0	4.0	4.0	3.0	4.0	4.0	8.0	6.0	0.0	0.0	5.0	5.0	22.0	14.0	12.0	0.0	5.0	5.0	1.0	2.0	1.0	2.0	0.0	4.0	7.0	3.0	1.0	4.0	1.0	1.0	1.0	7.0	1.0	1.0	1.0	9.0	2.0	39.0	11.0	6.0	16.0	0.0	6.0	7.0	0.0	6.0	9.0	0.0	6.0	21.0	3.0	1.0	1.0	0.0	8.0	0.0	1.0	7.0	5.0	5.0	5.0	0.0	0.0	3.0	5.0	1.0	0.0	6.0	3.0	2.0	7.0	1.0	1.0	2.0	0.0	9.0	0.0	3.0	27.0	0.0	0.0	10.0	5.0	3.0	0.0	2.0	1.0	3.0	0.0	4.0	3.0	3.0	0.0	7.0	5.0	1.0	1.0	1.0	1.0	17.0	6.0	1.0	1.0	1.0	1.0	0.0	0.0	5.0	0.0	1.0	31.0	2.0	2.0	82.0	1.0	1.0	39.0	1.0	0.0	0.0	6.0	3.0	8.0	2.0	1.0	2.0	214.0	6.0	2.0	11.0	2.0	0.0	4.0	3.0	5.0	2.0	0.0	0.0	0.0	2.0	8.0	6.0	3.0	25.0	5.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	6.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	28.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	10.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	42.0	0.0	0.0	0.0	2.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	303.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	242.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	286.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	627.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	195.0	0.0	0.0	0.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;Other;Other;Other;Other	23.0	50.0	167.0	5.0	309.0	138.0	122.0	303.0	33.0	46.0	214.0	27.0	202.0	48.0	56.0	130.0	14.0	91.0	350.0	65.0	66.0	228.0	166.0	60.0	311.0	108.0	61.0	273.0	136.0	37.0	66.0	242.0	70.0	140.0	69.0	124.0	45.0	9.0	33.0	144.0	137.0	18.0	96.0	268.0	22.0	95.0	41.0	110.0	67.0	46.0	44.0	65.0	152.0	635.0	113.0	247.0	29.0	349.0	229.0	10.0	122.0	6.0	148.0	28.0	87.0	81.0	252.0	91.0	220.0	218.0	5.0	63.0	72.0	10.0	136.0	234.0	322.0	70.0	176.0	432.0	119.0	35.0	222.0	21.0	97.0	44.0	35.0	48.0	33.0	124.0	135.0	228.0	142.0	189.0	34.0	117.0	31.0	16.0	124.0	76.0	53.0	104.0	34.0	63.0	16.0	35.0	97.0	58.0	27.0	131.0	183.0	76.0	36.0	21.0	79.0	319.0	77.0	43.0	1.0	30.0	62.0	82.0	87.0	165.0	25.0	16.0	70.0	132.0	74.0	68.0	118.0	41.0	34.0	14.0	49.0	9.0	188.0	121.0	78.0	7.0	109.0	59.0	44.0	22.0	84.0	72.0	70.0	27.0	87.0	12.0	20.0	86.0	68.0	16.0	176.0	25.0	82.0	12.0	8.0
k__Bacteria;p__Actinobacteria;Other;Other;Other	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other;Other	1.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	4.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	5.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	3.0	0.0	2.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	17.0	8.0	72.0	1.0	1.0	4.0	4.0	9.0	13.0	2.0	8.0	13.0	11.0	31.0	7.0	5.0	4.0	9.0	24.0	28.0	7.0	2.0	24.0	42.0	15.0	1.0	5.0	22.0	41.0	13.0	22.0	3.0	123.0	3.0	19.0	9.0	4.0	7.0	11.0	4.0	14.0	1.0	4.0	4.0	1.0	14.0	5.0	9.0	5.0	12.0	6.0	6.0	10.0	7.0	16.0	8.0	42.0	25.0	6.0	2.0	6.0	0.0	8.0	6.0	0.0	1.0	18.0	15.0	8.0	10.0	2.0	7.0	5.0	1.0	13.0	2.0	18.0	8.0	12.0	6.0	12.0	4.0	16.0	14.0	2.0	9.0	18.0	6.0	8.0	19.0	8.0	12.0	9.0	1.0	3.0	39.0	21.0	6.0	8.0	12.0	16.0	18.0	16.0	4.0	3.0	17.0	10.0	1.0	9.0	7.0	3.0	39.0	6.0	8.0	9.0	0.0	73.0	1.0	0.0	8.0	2.0	9.0	66.0	4.0	5.0	10.0	11.0	24.0	5.0	6.0	11.0	4.0	5.0	4.0	7.0	0.0	10.0	4.0	5.0	13.0	4.0	6.0	4.0	4.0	1.0	7.0	2.0	4.0	0.0	4.0	5.0	2.0	4.0	6.0	6.0	4.0	4.0	2.0	1.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	3583.0	1114.0	17918.0	615.0	6.0	3.0	2603.0	6260.0	1839.0	1219.0	1511.0	1694.0	3.0	3036.0	582.0	2169.0	627.0	4033.0	731.0	2806.0	1630.0	13.0	1112.0	2189.0	853.0	2760.0	5607.0	503.0	16454.0	1490.0	3889.0	80.0	7357.0	540.0	476.0	1.0	1.0	3362.0	989.0	1154.0	16830.0	1149.0	13878.0	788.0	970.0	2.0	590.0	609.0	457.0	813.0	480.0	10.0	137.0	146.0	1141.0	3579.0	1567.0	689.0	1010.0	86.0	2440.0	478.0	701.0	3.0	1030.0	10.0	870.0	3772.0	577.0	1031.0	722.0	8155.0	35.0	396.0	4453.0	0.0	2.0	434.0	2919.0	6284.0	828.0	2.0	453.0	814.0	19.0	1418.0	18071.0	154.0	1163.0	5490.0	250.0	931.0	20425.0	3.0	1893.0	5966.0	1363.0	3906.0	3416.0	3430.0	548.0	1204.0	741.0	612.0	121.0	6115.0	143.0	107.0	9075.0	276.0	7.0	6867.0	22.0	556.0	2.0	1.0	393.0	736.0	82.0	1596.0	168.0	13516.0	2508.0	179.0	3377.0	959.0	633.0	9430.0	379.0	1079.0	3.0	14705.0	141.0	161.0	4.0	80.0	4007.0	26.0	16.0	8464.0	871.0	1190.0	549.0	217.0	6.0	2.0	0.0	75.0	9.0	351.0	3712.0	1316.0	3.0	5303.0	150.0	4.0	11.0	0.0	335.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	6.0	6.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	3.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	6.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	5.0	0.0	2.0	1.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
