# Constructed from biom file
#OTU ID	Subject_41	Subject_40	Subject_43	Subject_42	Subject_45	Subject_44	Subject_47	Subject_46	Subject_39	Subject_31	Subject_32	Subject_33	Subject_34	Subject_35	Subject_36	Subject_37	Subject_16	Subject_14	Subject_15	Subject_13	Subject_11	Subject_18	Subject_19	Subject_29	Subject_28	Subject_27	Subject_26	Subject_25	Subject_24	Subject_23	Subject_22	Subject_20
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_massiliensis	0.0	0.666666666667	0.0	0.4	0.4	0.2	0.0	1.4	1.5	0.333333333333	0.0	5.5	1.0	0.0	0.2	0.0	0.5	1.66666666667	0.75	1.0	0.25	0.0	1.75	18.0	0.0	1.2	0.75	0.0	0.4	1.2	1.2	0.333333333333
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_meyeri	0.0	0.166666666667	0.0	0.2	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	1.66666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.2	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_odontolyticus	0.75	3.83333333333	1.16666666667	2.4	0.4	0.8	0.333333333333	3.2	3.0	0.333333333333	1.0	11.0	1.0	1.0	0.4	0.333333333333	2.0	2.66666666667	0.0	8.0	2.75	2.75	4.25	13.5	0.333333333333	1.4	2.25	0.5	2.0	2.6	0.8	2.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_oris	0.5	1.66666666667	1.16666666667	0.2	0.8	2.2	0.333333333333	2.6	1.0	0.0	1.5	5.75	0.666666666667	0.0	0.4	0.333333333333	0.0	4.66666666667	0.0	4.4	2.25	0.25	1.0	36.0	0.0	1.2	0.5	1.5	0.8	0.2	3.6	14.6666666667
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp._oral_taxon_448	0.0	0.333333333333	0.333333333333	0.0	2.4	0.0	0.0	0.0	0.0	0.333333333333	0.75	2.25	0.0	0.0	1.0	0.0	0.0	3.33333333333	0.25	0.0	0.0	0.0	2.75	0.0	0.0	1.6	0.0	0.0	0.0	0.2	1.2	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_turicensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.333333333333	0.0	0.25	0.0	0.0	0.0	0.333333333333	0.5	0.666666666667	0.0	0.2	0.0	0.0	0.75	0.0	16.0	0.6	0.0	0.5	0.2	0.6	0.4	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__Mobiluncus_curtisii	0.25	0.0	0.333333333333	0.4	0.6	0.0	0.0	0.6	0.0	0.0	0.5	0.0	0.0	0.0	1.2	0.0	0.0	0.666666666667	0.25	0.2	0.0	0.5	0.25	0.5	15.0	0.2	1.0	0.5	0.2	0.4	0.8	0.333333333333
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Trueperella;s__Trueperella_pyogenes	0.25	0.0	0.666666666667	4.8	0.0	0.2	0.333333333333	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.5	0.25	0.25	1.5	0.333333333333	0.6	0.0	0.0	0.2	15.4	0.6	1.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;Other;Other	0.25	7.5	14.5	0.2	3.2	0.2	3.0	0.4	0.0	0.0	1.75	23.0	1.0	18.0	1.6	0.0	0.0	8.33333333333	0.0	0.4	5.5	0.0	1.75	27.5	5.66666666667	0.0	1.5	0.0	0.0	1.4	0.0	9.66666666667
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;Other	14.75	127.166666667	292.166666667	17.2	83.8	2.2	127.666666667	28.8	1.0	0.0	47.0	625.25	53.6666666667	347.0	116.6	1.0	7.0	377.333333333	0.0	18.4	134.75	0.0	43.75	606.5	86.3333333333	0.2	72.0	15.5	0.0	34.0	0.0	224.666666667
