# Constructed from biom file
#OTU ID	MCT.f.0556	MCT.f.0305	MCT.f.0336	MCT.f.0557	MCT.f.0558	MCT.f.0319	MCT.f.0318	MCT.f.0624	MCT.f.0524	MCT.f.0051	MCT.f.0403	MCT.f.0374	MCT.f.0252	MCT.f.0134	MCT.f.0611	MCT.f.0405	MCT.f.0543	MCT.f.0439	MCT.f.0067	MCT.f.0627	MCT.f.0013	MCT.f.0457	MCT.f.0357	MCT.f.0441	MCT.f.0153	MCT.f.0608	MCT.f.0578	MCT.f.0306	MCT.f.0492	MCT.f.0255	MCT.f.0250	MCT.f.0438	MCT.f.0574	MCT.f.0573	MCT.f.0335	MCT.f.0066	MCT.f.0607	MCT.f.0590	MCT.f.0422	MCT.f.0541	MCT.f.0424	MCT.f.0081	MCT.f.0442	MCT.f.0048	MCT.f.0473	MCT.f.0218	MCT.f.0356	MCT.f.0539	MCT.f.0220	MCT.f.0456	MCT.f.0355	MCT.f.0169	MCT.f.0083	MCT.f.0525	MCT.f.0216	MCT.f.0303	MCT.f.0235	MCT.f.0117	MCT.f.0115	MCT.f.0458	MCT.f.0560	MCT.f.0421	MCT.f.0119	MCT.f.0388	MCT.f.0135	MCT.f.0166	MCT.f.0423	MCT.f.0440	MCT.f.0271	MCT.f.0219	MCT.f.0098	MCT.f.0068	MCT.f.0269	MCT.f.0593	MCT.f.0609	MCT.f.0390	MCT.f.0459	MCT.f.0233	MCT.f.0575	MCT.f.0065	MCT.f.0304	MCT.f.0354	MCT.f.0012	MCT.f.0152	MCT.f.0489	MCT.f.0302	MCT.f.0522	MCT.f.0352	MCT.f.0016	MCT.f.0063	MCT.f.0476	MCT.f.0133	MCT.f.0406	MCT.f.0595	MCT.f.0301	MCT.f.0369	MCT.f.0267	MCT.f.0080	MCT.f.0540	MCT.f.0149	MCT.f.0437	MCT.f.0559	MCT.f.0148	MCT.f.0628	MCT.f.0014	MCT.f.0114	MCT.f.0408	MCT.f.0592	MCT.f.0254	MCT.f.0322	MCT.f.0321	MCT.f.0337	MCT.f.0472	MCT.f.0118	MCT.f.0391	MCT.f.0323	MCT.f.0610	MCT.f.0338	MCT.f.0544	MCT.f.0455	MCT.f.0340	MCT.f.0049	MCT.f.0387	MCT.f.0425
0;Other;Other;Other;Other	3.0	0.0	0.0	3.0	3.0	1.0	44.0	25.0	2.0	1.0	1.0	0.0	16.0	11.0	34.0	1.0	4.0	2.0	41.0	0.0	0.0	1.0	31.0	1.0	48.0	6.0	2.0	4.0	0.0	1.0	0.0	0.0	2.0	4.0	0.0	5.0	0.0	0.0	1.0	2.0	0.0	2.0	5.0	9.0	2.0	1.0	2.0	2.0	5.0	4.0	12.0	0.0	1.0	10.0	2.0	0.0	5.0	14.0	8.0	0.0	8.0	2.0	3.0	2.0	1.0	103.0	0.0	1.0	2.0	11.0	6.0	0.0	19.0	2.0	1.0	5.0	5.0	1.0	4.0	0.0	5.0	7.0	1.0	5.0	3.0	0.0	0.0	3.0	3.0	5.0	0.0	5.0	3.0	0.0	3.0	1.0	44.0	1.0	0.0	0.0	2.0	1.0	7.0	7.0	8.0	3.0	2.0	5.0	10.0	1.0	7.0	0.0	1.0	1.0	26.0	0.0	6.0	1.0	1.0	1.0	4.0	0.0	2.0	7.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	627.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	0.0	1.0	17.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	0.0	19.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1001.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	3.0	0.0	2.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae	0.0	0.0	252.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	5.0	0.0	0.0	0.0	450.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	195.0	0.0	0.0	0.0	0.0	0.0	222.0	0.0	0.0	29.0	0.0	0.0	0.0
k__Bacteria;Other;Other;Other;Other	63.0	142.0	357.0	39.0	15.0	355.0	259.0	16.0	245.0	70.0	34.0	154.0	103.0	44.0	89.0	70.0	71.0	163.0	336.0	89.0	231.0	347.0	98.0	67.0	42.0	26.0	59.0	33.0	390.0	35.0	142.0	146.0	19.0	32.0	554.0	336.0	9.0	82.0	18.0	89.0	95.0	109.0	75.0	188.0	53.0	149.0	46.0	184.0	125.0	265.0	81.0	27.0	149.0	203.0	258.0	223.0	76.0	433.0	415.0	205.0	34.0	40.0	330.0	198.0	5.0	13.0	35.0	80.0	217.0	110.0	68.0	113.0	41.0	75.0	16.0	241.0	207.0	93.0	39.0	298.0	54.0	42.0	60.0	85.0	58.0	200.0	71.0	49.0	467.0	290.0	259.0	41.0	14.0	63.0	66.0	36.0	81.0	75.0	291.0	191.0	172.0	13.0	148.0	8.0	137.0	237.0	22.0	75.0	32.0	231.0	122.0	207.0	170.0	371.0	34.0	197.0	2.0	141.0	18.0	75.0	46.0	33.0	40.0	4.0
k__Bacteria;p__Actinobacteria;Other;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	1.0	2.0	0.0	0.0	2.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	3.0	0.0	0.0	1.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other;Other	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	1.0	1.0	1.0	2.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	8.0	5.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	6.0	3.0	0.0	0.0	7.0	0.0	0.0	11.0	1.0	0.0	2.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	31.0	15.0	29.0	45.0	15.0	13.0	8.0	2.0	2.0	3.0	6.0	4.0	45.0	7.0	42.0	28.0	7.0	11.0	47.0	3.0	6.0	4.0	13.0	3.0	2.0	11.0	3.0	2.0	43.0	5.0	29.0	11.0	6.0	6.0	56.0	21.0	3.0	22.0	6.0	6.0	15.0	34.0	7.0	8.0	3.0	3.0	12.0	3.0	7.0	13.0	12.0	6.0	35.0	5.0	13.0	20.0	8.0	11.0	5.0	7.0	3.0	15.0	10.0	0.0	0.0	2.0	20.0	6.0	53.0	3.0	5.0	12.0	7.0	22.0	19.0	4.0	27.0	19.0	12.0	14.0	15.0	6.0	2.0	1.0	128.0	7.0	3.0	9.0	16.0	53.0	41.0	0.0	7.0	62.0	20.0	2.0	11.0	22.0	5.0	1.0	12.0	20.0	2.0	0.0	6.0	2.0	2.0	36.0	6.0	22.0	6.0	13.0	59.0	10.0	2.0	22.0	9.0	15.0	12.0	8.0	2.0	1.0	3.0	1.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	2794.0	1580.0	682.0	5463.0	784.0	11.0	3.0	348.0	9.0	990.0	3233.0	478.0	5997.0	225.0	3060.0	4155.0	104.0	4855.0	674.0	7287.0	5327.0	2.0	1.0	15260.0	5.0	249.0	1299.0	672.0	16891.0	1607.0	7075.0	3215.0	1496.0	1262.0	1344.0	1169.0	125.0	12131.0	561.0	91.0	922.0	2514.0	7967.0	1670.0	137.0	2.0	0.0	110.0	2.0	12.0	2.0	550.0	3357.0	12.0	4.0	4005.0	7.0	4807.0	2654.0	0.0	710.0	1143.0	4388.0	896.0	81.0	543.0	1377.0	7366.0	32487.0	1.0	22162.0	300.0	2827.0	26986.0	284.0	789.0	1.0	344.0	1198.0	1002.0	865.0	2.0	1426.0	43.0	30659.0	1300.0	3.0	7.0	23323.0	522.0	666.0	126.0	550.0	53023.0	4124.0	293.0	5965.0	37860.0	110.0	31.0	98077.0	1096.0	19.0	435.0	5857.0	913.0	2592.0	57032.0	2002.0	6.0	0.0	574.0	693.0	10209.0	146.0	9.0	177.0	367.0	24.0	13.0	348.0	636.0	1084.0	125.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	4.0	1.0	0.0	4.0	1.0	0.0	6.0	2.0	1.0	0.0	1.0	1.0	2.0	0.0	3.0	1.0	8.0	1.0	3.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
