# Constructed from biom file
#OTU ID	Subject_41	Subject_40	Subject_43	Subject_42	Subject_45	Subject_44	Subject_47	Subject_46	Subject_39	Subject_31	Subject_32	Subject_33	Subject_34	Subject_35	Subject_36	Subject_37	Subject_16	Subject_14	Subject_15	Subject_13	Subject_11	Subject_18	Subject_19	Subject_29	Subject_28	Subject_27	Subject_26	Subject_25	Subject_24	Subject_23	Subject_22	Subject_20
0;Other;Other;Other;Other	6.375	2.61538461538	11.3571428571	9.41666666667	3.5	4.15384615385	3.08333333333	6.46666666667	2.875	2.9	4.0	5.4	2.375	5.6	4.33333333333	6.3	15.4	2.0	6.08333333333	32.5555555556	3.38461538462	6.375	3.77777777778	7.5	2.0	6.75	3.66666666667	1.5	6.0	3.16666666667	6.21428571429	9.63636363636
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	21.875	0.0	0.0	0.0	0.0	0.0769230769231	0.0	0.0	0.5	0.0	0.0	2.6	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.875	0.0	424.5	0.0	0.0	0.0	24.3	0.0	16.9166666667	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae	0.125	0.153846153846	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.555555555556	211.0	0.0	0.0	0.0	0.0	0.0	240.083333333	0.0	0.0
k__Bacteria;Other;Other;Other;Other	152.0	133.153846154	90.3571428571	39.8333333333	36.75	157.461538462	16.4166666667	34.2666666667	94.25	167.5	46.1	43.2	75.75	68.8	331.166666667	49.7	35.6	133.4	135.916666667	218.0	145.461538462	115.0	80.1111111111	203.0	120.5	193.5	25.75	77.2	84.0	267.0	164.357142857	90.8181818182
k__Bacteria;p__Actinobacteria;Other;Other;Other	0.375	0.0769230769231	0.357142857143	1.08333333333	0.0	0.615384615385	0.0833333333333	0.133333333333	0.25	0.1	0.1	1.1	0.0	0.8	0.583333333333	0.4	0.0	1.4	0.333333333333	0.444444444444	0.0769230769231	0.0	0.666666666667	1.5	0.375	0.5	0.416666666667	0.3	0.333333333333	0.25	0.142857142857	0.727272727273
k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other;Other	0.0	1.46153846154	1.21428571429	0.0833333333333	0.666666666667	0.384615384615	0.416666666667	0.0666666666667	0.125	0.3	0.7	1.9	0.75	1.2	0.583333333333	0.1	0.1	1.6	0.25	0.333333333333	0.615384615385	0.5	0.444444444444	2.75	0.5	0.0833333333333	1.0	0.3	0.333333333333	0.333333333333	0.142857142857	2.18181818182
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	3.875	11.4615384615	7.92857142857	15.4166666667	19.6666666667	11.8461538462	0.833333333333	11.0666666667	11.625	2.3	11.2	19.8	2.875	8.4	7.41666666667	4.3	5.7	31.2	2.5	21.1111111111	10.9230769231	7.125	29.2222222222	48.25	15.5	8.41666666667	10.0833333333	8.7	10.5833333333	20.4166666667	8.71428571429	14.8181818182
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	830.0	1755.69230769	13021.9285714	1107.16666667	1769.75	226.384615385	1167.25	432.533333333	167.25	5.7	1301.6	18660.2	1023.125	5991.0	3648.41666667	314.9	928.1	9538.9	39.5	724.333333333	6585.61538462	5.125	6763.66666667	13619.0	411.125	5.75	3326.66666667	517.7	3.0	721.25	13.5714285714	15643.4545455
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.2	0.416666666667	0.0	0.2	0.1	0.0	0.0	0.0	0.0	0.0	0.0	3.125	0.0	0.0	0.3	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae	0.625	2.69230769231	0.0	0.916666666667	0.333333333333	0.461538461538	2.5	0.933333333333	0.875	0.3	0.6	0.7	0.125	0.8	0.166666666667	0.2	0.3	0.7	0.166666666667	2.22222222222	0.384615384615	0.375	1.0	2.0	0.25	0.5	0.583333333333	0.7	1.08333333333	0.75	0.214285714286	1.81818181818
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae	0.0	0.307692307692	0.0	0.0833333333333	0.0833333333333	0.461538461538	0.0	0.0	0.5	0.0	0.0	0.0	0.5	0.2	0.5	0.1	0.0	0.1	0.0	0.0	0.153846153846	0.0	0.111111111111	0.0	0.0	0.0833333333333	0.0833333333333	0.2	0.0	0.0833333333333	0.0714285714286	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Dermacoccaceae	0.0	0.0	0.0	0.0	0.0833333333333	0.0	0.0833333333333	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0833333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0833333333333	0.0	0.0	0.0	0.0833333333333	0.0	0.272727272727
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae	0.0	0.0769230769231	0.0714285714286	0.0	0.333333333333	0.0769230769231	0.166666666667	0.0666666666667	0.625	0.0	0.0	0.0	0.0	0.0	0.166666666667	0.1	0.0	0.0	0.0	0.111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0833333333333	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae	0.0	0.153846153846	0.0714285714286	0.166666666667	0.0	0.153846153846	0.166666666667	0.266666666667	0.125	0.1	0.3	0.2	0.0	0.0	0.0833333333333	0.0	0.4	0.2	0.0	0.111111111111	0.0	0.0	0.111111111111	0.75	0.0	0.25	0.25	0.0	0.0	0.0	0.142857142857	0.181818181818
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae	2.25	1.38461538462	1.5	1.08333333333	2.58333333333	2.84615384615	1.41666666667	3.93333333333	2.875	1.8	0.6	19.0	0.125	1.4	9.83333333333	3.1	11.1	0.8	0.416666666667	13.4444444444	7.46153846154	0.625	15.3333333333	7.5	0.75	1.33333333333	2.0	2.0	3.33333333333	2.66666666667	2.0	19.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae	10.125	30.3076923077	9.5	11.75	6.75	11.0769230769	9.33333333333	5.46666666667	10.25	8.8	13.6	6.4	18.875	7.8	20.25	6.0	14.8	5.5	5.25	11.8888888889	5.92307692308	19.25	7.33333333333	26.5	13.875	14.1666666667	11.25	9.4	15.5833333333	7.91666666667	8.14285714286	10.2727272727
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;Other;Other	0.5	0.384615384615	1.78571428571	4.0	0.5	2.46153846154	0.25	2.6	3.875	0.5	1.0	3.0	0.625	3.0	3.41666666667	1.7	1.4	0.8	1.16666666667	3.0	2.30769230769	0.25	0.555555555556	13.75	1.25	1.16666666667	0.416666666667	0.9	0.5	3.33333333333	5.14285714286	11.1818181818
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae	0.25	0.0	0.285714285714	0.25	0.333333333333	0.153846153846	0.0	0.266666666667	0.0	0.3	0.0	1.0	0.0	0.2	0.0	0.6	0.1	0.0	0.0	0.333333333333	0.0	0.0	0.111111111111	0.25	0.0	0.0	0.0833333333333	0.0	0.0	0.166666666667	0.214285714286	0.0909090909091
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	2.0	0.461538461538	5.92857142857	56.6666666667	46.9166666667	14.3846153846	5.25	11.4	13.875	1.8	4.0	88.1	0.375	10.4	14.25	7.5	51.7	3.2	3.25	12.8888888889	12.5384615385	428.125	103.777777778	67.25	293.75	12.3333333333	7.66666666667	2.8	3.25	57.75	19.7142857143	35.3636363636
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae	128.5	698.769230769	174.0	37.75	273.416666667	438.461538462	101.5	151.533333333	136.5	197.1	695.7	65.4	217.625	131.6	181.25	101.1	67.0	685.7	394.166666667	615.444444444	224.846153846	253.125	405.555555556	676.0	405.0	202.75	157.666666667	143.3	116.5	135.833333333	359.642857143	604.909090909
k__Bacteria;p__Bacteroidetes;Other;Other;Other	94.875	324.538461538	60.8571428571	145.083333333	62.5	41.5384615385	69.5833333333	67.0	57.5	100.5	33.8	49.8	101.25	235.8	351.25	194.7	47.2	131.6	41.1666666667	69.5555555556	141.153846154	59.125	82.3333333333	72.0	871.875	115.833333333	495.666666667	50.1	133.166666667	49.0	72.6428571429	70.9090909091
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;Other;Other	10.25	0.0	3.35714285714	5.75	11.75	5.53846153846	0.25	2.46666666667	2.875	5.3	0.0	3.5	7.0	4.6	7.16666666667	1.8	5.4	0.0	8.83333333333	0.0	6.15384615385	2.875	2.77777777778	1.75	3.25	3.58333333333	6.25	2.8	1.91666666667	2.41666666667	3.07142857143	1.45454545455
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;Other	12926.875	12530.0	17000.9285714	17366.3333333	16747.0833333	11605.8461538	8107.25	11479.6	7075.25	5827.2	6720.4	3375.6	5478.0	9195.6	9728.58333333	15557.1	16291.5	16517.1	12485.4166667	14317.8888889	10866.4615385	9097.875	13479.3333333	4739.75	7398.125	15801.1666667	10035.0	16688.7	13030.8333333	8909.25	10502.8571429	7883.18181818
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__	0.875	0.0	0.0	0.25	0.166666666667	3.46153846154	0.0	0.133333333333	1.0	1.2	0.0	0.3	0.125	3.6	0.0833333333333	0.0	0.5	0.0	0.0	0.0	0.153846153846	0.25	0.0	0.0	1.875	0.166666666667	0.166666666667	0.0	0.416666666667	0.666666666667	0.0	0.272727272727
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	135425.25	148070.692308	190606.571429	145637.916667	134762.833333	45810.7692308	285834.166667	116408.733333	32109.375	36832.6	29962.1	9080.3	141895.25	63890.0	158166.0	216326.4	107644.5	222579.1	155718.75	105991.0	125688.0	104210.25	80456.0	44545.0	58087.75	145480.666667	79869.75	105823.4	164321.833333	93466.6666667	123567.214286	107814.818182
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae	8742.25	371.538461538	3469.21428571	1894.58333333	4659.16666667	1218.38461538	114.416666667	765.333333333	1032.125	75.0	149.5	792.1	2172.875	1043.0	3951.91666667	159.3	4249.8	539.3	520.75	1690.44444444	3048.53846154	1863.375	6081.33333333	2310.25	2557.125	5770.58333333	2610.33333333	6607.4	1786.25	1470.91666667	5051.71428571	401.636363636
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	12404.875	1296.15384615	13735.1428571	4241.66666667	20154.0	3931.69230769	7135.25	7098.8	6869.875	7209.9	23774.4	614.6	1966.75	1801.6	16866.3333333	4817.9	12353.0	1115.3	5778.0	6142.11111111	12325.7692308	15332.625	11326.5555556	3192.75	8926.0	25566.1666667	4179.08333333	7346.8	1249.83333333	5839.91666667	28740.5714286	8515.81818182
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	1851.375	829.538461538	1090.78571429	3891.66666667	488.083333333	12618.8461538	416.166666667	589.933333333	22101.625	103945.7	374.2	121248.3	124.375	5039.8	920.75	2335.9	208.1	1137.3	3700.5	7657.66666667	795.076923077	1596.375	790.666666667	211.25	256.125	585.166666667	126127.666667	299.5	350.666666667	1525.25	441.357142857	1111.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	18584.25	1467.92307692	34688.0714286	25046.5	87676.75	21430.0769231	738.166666667	23790.2666667	53140.625	1105.9	100959.4	1079.5	31047.0	13866.6	76970.4166667	8410.3	62382.0	505.3	21704.5	3833.33333333	36336.1538462	47216.5	89247.3333333	21384.75	52790.75	42029.0833333	33338.1666667	60368.6	6564.75	73052.75	1003.92857143	25908.5454545
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Marinilabiliales;f__Marinilabiliaceae	0.0	0.0	0.0714285714286	0.0	0.0	0.153846153846	0.0	0.0666666666667	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.888888888889	0.25	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Marinilabiliales;f__Salinivirgaceae	0.0	0.0	0.0	0.166666666667	0.333333333333	0.615384615385	0.0	0.0666666666667	0.0	0.0	0.0	0.0	0.5	0.0	0.25	0.4	0.0	0.0	0.166666666667	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.166666666667	0.0	0.25	0.416666666667	0.0	0.545454545455
k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae	0.375	1.69230769231	1.71428571429	0.416666666667	2.33333333333	0.384615384615	0.916666666667	0.466666666667	2.125	1.1	2.0	1.1	0.375	0.2	1.25	1.1	1.2	2.0	0.5	1.66666666667	0.769230769231	1.25	1.11111111111	2.5	0.375	0.416666666667	0.25	0.0	0.666666666667	0.833333333333	1.35714285714	1.36363636364
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae	0.0	0.0	0.0	0.0	0.0	1.23076923077	0.0	0.0	0.125	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	0.625	0.923076923077	0.0	8.83333333333	0.75	3.61538461538	0.333333333333	0.6	8.625	1.0	0.0	0.0	0.0	4.2	1.33333333333	1.0	0.6	0.1	10.0	21.0	0.0769230769231	0.25	0.0	0.5	0.375	0.833333333333	0.333333333333	0.4	0.583333333333	4.08333333333	0.0	0.181818181818
k__Bacteria;p__Firmicutes;Other;Other;Other	332.5	219.538461538	505.0	349.0	349.166666667	597.538461538	58.9166666667	329.133333333	469.75	583.3	594.2	301.6	467.25	638.2	691.5	200.2	428.2	283.9	449.083333333	394.111111111	600.538461538	434.25	570.666666667	1568.5	1029.75	565.25	163.083333333	628.1	499.75	500.083333333	688.571428571	668.636363636
k__Bacteria;p__Firmicutes;c__;o__;f__	4.75	2.76923076923	3.42857142857	2.75	1.58333333333	21.8461538462	0.25	2.13333333333	14.5	11.9	3.0	2.9	1.375	4.2	6.33333333333	2.2	2.3	1.5	3.41666666667	2.66666666667	5.61538461538	9.0	4.11111111111	6.25	9.875	11.8333333333	1.0	7.8	2.5	1.58333333333	3.42857142857	6.27272727273
k__Bacteria;p__Firmicutes;c__Bacilli;Other;Other	0.375	2.07692307692	0.5	0.0	0.0833333333333	0.692307692308	0.25	0.333333333333	0.125	0.1	0.0	1.5	0.125	0.2	1.16666666667	0.2	1.1	0.8	0.166666666667	2.88888888889	1.0	0.875	0.333333333333	5.25	0.375	0.416666666667	0.0	0.1	0.416666666667	0.583333333333	0.571428571429	0.363636363636
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;Other	0.125	0.153846153846	0.285714285714	0.0833333333333	0.0	0.0	0.0	0.133333333333	0.375	0.0	0.2	0.2	0.375	0.2	0.166666666667	0.0	0.3	0.1	0.0	0.888888888889	0.461538461538	0.5	0.0	2.25	0.0	0.0	0.0	0.1	0.166666666667	0.0833333333333	0.428571428571	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	0.875	2.84615384615	1.85714285714	0.0	0.0	2.30769230769	0.0833333333333	2.8	0.375	0.2	0.1	0.0	0.5	0.2	0.75	0.7	0.7	2.6	0.166666666667	2.44444444444	1.46153846154	0.125	0.0	3.5	0.125	0.166666666667	0.25	0.1	1.16666666667	0.0833333333333	0.142857142857	0.0909090909091
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae	0.5	1.69230769231	0.214285714286	0.583333333333	0.75	0.769230769231	0.0	0.466666666667	0.125	0.6	0.5	0.0	0.375	0.6	0.916666666667	1.0	0.6	0.8	0.166666666667	0.222222222222	0.384615384615	0.5	0.666666666667	5.25	1.75	0.5	0.416666666667	0.4	0.5	0.333333333333	0.357142857143	0.818181818182
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae	0.0	0.0	0.142857142857	0.0	0.166666666667	0.0769230769231	0.0	0.0	0.125	0.1	0.1	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.25	0.166666666667	0.2	0.0833333333333	0.0	0.428571428571	0.0909090909091
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	0.0	0.0	0.0	0.0833333333333	0.0	0.0769230769231	0.0833333333333	0.0	0.125	0.0	0.1	0.1	0.125	0.0	0.0	0.0	0.1	0.2	0.0	0.222222222222	0.0769230769231	0.125	0.0	1.0	0.125	0.0833333333333	0.0833333333333	0.0	0.0833333333333	0.0	0.0714285714286	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other	0.375	2.0	0.642857142857	0.5	0.166666666667	0.923076923077	0.5	0.866666666667	1.25	0.2	0.1	7.3	0.625	2.4	0.583333333333	1.3	0.1	1.8	0.25	3.44444444444	1.92307692308	0.5	1.0	10.0	0.0	0.5	0.333333333333	0.1	0.0	0.416666666667	0.857142857143	1.09090909091
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae	0.625	0.230769230769	0.142857142857	0.0833333333333	0.0833333333333	0.0769230769231	0.0	0.0	0.125	0.0	0.2	0.1	0.0	0.2	0.0833333333333	0.0	0.2	0.1	0.0	0.0	0.0	0.125	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	0.25	0.307692307692	0.214285714286	0.166666666667	0.0833333333333	0.307692307692	0.0	0.2	0.125	0.2	0.2	0.6	0.5	0.2	0.333333333333	0.1	0.6	0.6	0.333333333333	0.777777777778	0.153846153846	0.125	0.333333333333	3.75	0.5	0.333333333333	0.25	0.2	0.0	0.0833333333333	0.214285714286	0.818181818182
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	0.25	0.538461538462	7.0	0.0833333333333	0.166666666667	8.23076923077	0.666666666667	4.13333333333	1.625	0.4	0.3	0.2	2.25	1.2	0.0	0.6	0.0	26.1	0.0833333333333	6.22222222222	1.46153846154	0.375	0.0	1.5	0.125	0.0	0.416666666667	0.0	0.0833333333333	0.166666666667	0.857142857143	1.18181818182
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	0.875	11.2307692308	2.64285714286	3.33333333333	4.0	0.692307692308	0.0833333333333	20.2666666667	5.0	4.0	0.5	1.0	6.375	7.2	14.25	8.4	3.0	10.2	1.41666666667	166.666666667	1.69230769231	2.75	2.55555555556	79.5	1.125	9.75	5.0	0.9	2.25	8.08333333333	3.5	5.27272727273
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	0.0	0.0	0.142857142857	0.0833333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.4	0.2	0.8	0.0	0.0	0.0	0.0	0.111111111111	0.25	0.0	0.0	0.0	0.1	0.0	0.333333333333	0.142857142857	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	6.125	267.461538462	54.7857142857	122.25	16.1666666667	71.0	28.8333333333	87.8	48.5	36.4	30.4	921.9	68.0	123.2	67.4166666667	90.5	21.8	92.6	28.6666666667	455.333333333	449.230769231	9.25	54.2222222222	2294.5	11.375	65.5833333333	24.3333333333	25.1	16.4166666667	39.0	44.4285714286	165.909090909
k__Bacteria;p__Firmicutes;c__Clostridia;Other;Other	1.0	0.0	0.285714285714	0.583333333333	0.416666666667	0.769230769231	0.25	0.466666666667	0.625	0.5	1.4	0.0	0.5	0.2	0.666666666667	0.3	0.2	0.1	0.25	0.333333333333	0.615384615385	0.75	0.777777777778	2.25	0.625	0.25	0.25	0.5	0.416666666667	1.16666666667	0.142857142857	1.09090909091
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other	1466.25	1582.38461538	2673.0	1519.33333333	1785.5	2589.92307692	284.25	1807.0	2233.25	2847.3	2160.6	1192.4	2187.5	2967.2	3831.75	1417.5	2287.3	1645.0	1902.08333333	3413.55555556	2893.92307692	1999.625	2164.11111111	6601.75	3334.5	4001.41666667	833.0	2609.9	2091.83333333	2190.83333333	3317.5	2733.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__	525.25	7709.92307692	973.357142857	804.75	268.083333333	1005.0	1480.83333333	430.2	691.875	774.2	921.0	219.2	1593.0	699.6	818.583333333	2467.8	526.4	4282.0	870.75	1439.44444444	724.307692308	2357.75	501.888888889	1415.5	1061.625	7215.33333333	426.833333333	607.8	430.25	333.583333333	4013.28571429	930.727272727
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	1104.0	598.692307692	3355.5	1855.33333333	736.166666667	1484.46153846	103.083333333	945.6	1724.25	2291.8	1624.1	1942.7	1559.25	1329.6	1413.75	1856.4	1494.4	2572.7	1532.0	4662.66666667	3292.46153846	1878.75	1500.55555556	2510.25	1358.5	3132.16666667	697.0	1057.4	1711.75	873.583333333	2443.35714286	2596.72727273
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Family_XIII._Incertae_Sedis	0.625	0.153846153846	1.07142857143	0.25	0.5	1.38461538462	0.0	0.133333333333	0.125	0.1	0.4	0.3	0.625	1.0	2.25	0.1	0.9	0.5	0.416666666667	0.111111111111	0.384615384615	0.375	0.555555555556	4.75	0.125	1.5	0.166666666667	0.2	0.0833333333333	0.333333333333	0.142857142857	0.636363636364
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae	497.625	423.461538462	624.357142857	453.0	497.5	559.0	66.5833333333	403.533333333	1054.0	1277.2	1407.6	646.8	751.0	638.0	1163.58333333	430.4	358.7	278.0	726.416666667	1923.22222222	632.230769231	396.875	445.0	2088.75	822.375	732.083333333	368.0	822.2	312.833333333	1533.25	2628.14285714	2270.18181818
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	5713.125	18925.8461538	7937.28571429	6239.58333333	9424.83333333	6239.92307692	3722.41666667	9426.6	5098.125	8560.4	11463.9	6550.6	6392.5	14534.0	10433.5833333	9089.1	6862.8	14818.8	7007.41666667	9650.77777778	14641.6153846	6659.0	13512.5555556	34680.25	15318.625	8304.08333333	2935.08333333	4182.8	5653.41666667	4000.5	10299.5	7313.81818182
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae	203.375	3417.46153846	744.571428571	1143.83333333	275.416666667	1354.23076923	669.416666667	1171.2	424.75	646.3	793.5	93.4	741.375	463.2	2019.91666667	1736.4	584.0	2911.7	5153.5	554.555555556	1595.0	1760.0	312.666666667	547.25	783.875	6822.08333333	115.5	963.5	249.583333333	344.083333333	2201.07142857	2767.63636364
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae	0.5	0.0	0.285714285714	0.0	0.25	0.0	0.0	0.0	0.25	0.1	1.8	0.1	0.0	0.8	3.75	0.0	1.9	0.0	0.25	0.0	0.153846153846	0.375	0.666666666667	0.5	1.625	0.166666666667	0.25	0.1	0.416666666667	1.83333333333	0.0	0.0
